,state,action,qvalue
0,"(None, 'green', None, None, None)",,0.0
1,"(None, 'green', None, None, None)",right,0.0
2,"(None, 'green', None, None, None)",left,0.0
3,"(None, 'green', None, None, None)",forward,0.0
4,"(None, 'green', None, None, 'left')",right,0.0
5,"(None, 'green', None, None, 'left')",forward,0.0
6,"(None, 'green', None, None, 'left')",,0.0
7,"(None, 'green', None, None, 'left')",left,0.0
8,"(None, 'green', None, 'forward', None)",,0.0
9,"(None, 'green', None, 'forward', None)",left,0.0
10,"(None, 'green', None, 'forward', None)",forward,0.0
11,"(None, 'green', None, 'forward', None)",right,0.0
12,"(None, 'red', None, None, None)",forward,0.0
13,"(None, 'red', None, None, None)",,0.0
14,"(None, 'red', None, None, None)",left,0.0
15,"(None, 'red', None, None, None)",right,0.0
16,"(None, 'red', 'left', None, None)",,0.0
17,"(None, 'red', 'left', None, None)",left,0.0
18,"(None, 'red', 'left', None, None)",right,0.0
19,"(None, 'red', 'left', None, None)",forward,0.0
20,"('forward', 'green', None, None, None)",forward,4.16645994593
21,"('forward', 'green', None, None, 'forward')",forward,0.832517199488
22,"('forward', 'green', None, None, 'left')",right,0.305337773631
23,"('forward', 'green', None, None, 'right')",forward,0.0
24,"('forward', 'green', None, None, 'right')",left,0.0
25,"('forward', 'green', None, None, 'right')",,0.0
26,"('forward', 'green', None, 'forward', None)",forward,2.74148519015
27,"('forward', 'green', None, 'left', None)",,0.0905564776806
28,"('forward', 'green', None, 'right', None)",forward,0.462786194809
29,"('forward', 'green', 'forward', None, None)",left,0.0574370934683
30,"('forward', 'green', 'left', None, None)",forward,0.892137250849
31,"('forward', 'red', None, None, None)",,1.36252330546
32,"('forward', 'red', None, None, 'forward')",,0.0
33,"('forward', 'red', None, None, 'forward')",left,0.0
34,"('forward', 'red', None, None, 'forward')",right,0.0
35,"('forward', 'red', None, None, 'left')",,0.00656503018014
36,"('forward', 'red', None, None, 'right')",forward,0.137512741892
37,"('forward', 'red', None, 'forward', None)",,0.139286783768
38,"('forward', 'red', None, 'right', None)",left,0.0
39,"('forward', 'red', None, 'right', None)",,0.0
40,"('forward', 'red', 'forward', None, None)",right,0.287906794442
41,"('forward', 'red', 'left', None, None)",,0.0725460824632
42,"('forward', 'red', 'right', None, None)",,0.0
43,"('forward', 'red', 'right', None, None)",left,0.0
44,"('forward', 'red', 'right', None, None)",right,0.0
45,"('left', 'green', None, None, None)",left,5.27302766356
46,"('left', 'green', None, None, 'forward')",right,0.2467952895
47,"('left', 'green', None, None, 'left')",left,4.67578315791
48,"('left', 'green', None, None, 'right')",left,0.255313327198
49,"('left', 'green', None, 'forward', None)",left,0.264346791305
50,"('left', 'green', None, 'left', None)",left,2.7128617101
51,"('left', 'green', None, 'right', None)",left,0.742188351764
52,"('left', 'green', 'left', None, None)",forward,0.0137277028743
53,"('left', 'green', 'right', None, None)",forward,0.257689146369
54,"('left', 'red', None, None, None)",right,1.67834740666
55,"('left', 'red', None, None, 'left')",,0.0168091640192
56,"('left', 'red', None, None, 'right')",left,0.0
57,"('left', 'red', None, None, 'right')",right,0.0
58,"('left', 'red', None, None, 'right')",,0.0
59,"('left', 'red', None, 'left', None)",,0.0
60,"('left', 'red', None, 'left', None)",right,0.0
61,"('left', 'red', None, 'left', None)",forward,0.0
62,"('left', 'red', None, 'right', None)",left,0.090345388756
63,"('left', 'red', 'forward', None, None)",,0.409672620834
64,"('left', 'red', 'left', None, None)",right,0.174415292218
65,"('left', 'red', 'right', None, None)",right,0.025941677367
66,"('right', 'green', None, None, None)",right,4.0004923075
67,"('right', 'green', None, None, 'forward')",forward,0.455124738267
68,"('right', 'green', None, None, 'left')",left,0.141309621271
69,"('right', 'green', None, None, 'right')",left,0.0427155919564
70,"('right', 'green', None, 'forward', None)",right,1.79159839756
71,"('right', 'green', None, 'left', None)",right,0.396416773024
72,"('right', 'green', None, 'right', None)",right,0.387742012047
73,"('right', 'green', 'left', None, None)",forward,0.416145848909
74,"('right', 'green', 'right', None, None)",right,0.449749691432
75,"('right', 'red', None, None, None)",right,4.80983582227
76,"('right', 'red', None, None, 'forward')",,0.05414498875
77,"('right', 'red', None, None, 'left')",,0.208035106022
78,"('right', 'red', None, 'forward', None)",right,0.355903258906
79,"('right', 'red', None, 'left', None)",,0.0
80,"('right', 'red', None, 'left', None)",forward,0.0
81,"('right', 'red', None, 'left', None)",right,0.0
82,"('right', 'red', None, 'left', None)",left,0.0
83,"('right', 'red', None, 'right', None)",left,0.0941350039615
84,"('right', 'red', 'forward', None, None)",right,0.793344561052
85,"('right', 'red', 'left', None, None)",right,1.82889343638
